File Name,Freq_1 (Hz),Freq_2 (Hz),Freq_3 (Hz),Freq_4 (Hz),Freq_5 (Hz),Freq_6 (Hz),Freq_7 (Hz),Freq_8 (Hz),Freq_9 (Hz),Freq_10 (Hz),Freq_11 (Hz),Freq_12 (Hz),Time (s)
rand_0839.stp,66364.77,66506.54,86206.78,159297.2,173693.9,173935.2,193441.2,193659.0,313218.3,313257.1,333658.5,353903.8,8.97
rand_0840.stp,29473.76,29484.51,39467.49,68964.79,68986.14,70566.57,86813.29,86900.41,137667.0,139165.9,140397.2,140830.5,15.46
rand_0841.stp,73692.11,73760.61,93610.41,181679.6,204424.5,204617.8,225744.7,225898.6,376826.9,377028.3,416317.8,429538.9,8.32
rand_0842.stp,59091.43,59130.26,79486.79,136828.8,137003.0,140724.8,173053.6,173118.4,272379.7,277428.4,277475.0,278655.2,8.51
rand_0843.stp,26772.07,26786.07,37080.97,47636.22,47642.74,61564.02,75814.49,75828.79,92044.88,99335.45,101004.8,101167.2,9.68
rand_0844.stp,94979.29,95017.25,125787.2,215002.4,215354.1,221204.4,270789.2,271327.7,424628.8,424734.6,428850.9,442070.0,7.19
rand_0845.stp,55525.12,55542.53,73199.44,132344.1,135385.7,135491.4,161974.4,162079.6,261986.0,262031.3,265963.4,276497.7,10.30
rand_0846.stp,28112.99,28128.52,38919.5,57271.27,57420.05,66658.07,81702.47,81724.01,112004.5,115870.1,116007.8,116846.6,12.39
rand_0847.stp,23257.46,23266.36,32422.88,47339.93,47359.9,56061.79,69225.46,69260.24,91301.89,96161.43,96315.02,98814.25,20.11
rand_0848.stp,62312.42,62357.74,80651.43,153063.4,172277.7,172571.6,186589.3,186745.2,308947.1,308975.4,333296.9,350532.6,9.20
rand_0849.stp,53518.26,53576.63,70334.84,129226.5,135050.0,135247.8,158222.8,158308.7,259017.0,259054.4,265248.7,275992.7,11.63
rand_0850.stp,29606.13,29622.48,39739.96,69229.33,69266.11,70794.11,86939.9,86959.34,137220.2,139288.4,140424.9,140477.7,17.05
rand_0851.stp,17112.4,17120.08,24049.32,33575.18,33652.28,40656.88,50381.27,50391.7,64781.53,68833.07,68872.87,69979.49,18.59
rand_0852.stp,26910.89,27040.88,37646.4,47158.68,47253.96,61235.85,76278.66,76481.27,89583.96,97782.37,98208.56,98819.44,13.93
rand_0853.stp,60198.1,60233.83,78370.88,150916.3,172516.9,172692.0,184489.3,184751.0,310820.0,310864.3,334591.0,346330.5,16.23
rand_0854.stp,17687.95,17837.11,25003.99,33398.46,33665.07,41736.34,51687.49,51889.37,63938.54,68836.57,68878.48,69513.15,17.95
rand_0855.stp,17093.5,17106.58,23598.52,33319.52,33825.1,39831.24,49573.47,49591.51,65243.52,69317.14,70056.67,70409.23,20.35
rand_0856.stp,66533.48,66947.87,88591.58,160266.2,173917.2,176696.1,199587.6,202944.5,324592.5,327754.2,339129.9,350264.7,15.76
rand_0857.stp,17840.35,17844.43,25190.84,33753.07,33811.78,42026.15,51901.77,51907.08,64639.66,69058.42,69116.99,69960.03,18.93
rand_0858.stp,28982.1,29040.66,39568.61,69667.75,69910.65,70698.35,86351.57,86717.04,138401.9,140567.4,140796.0,140883.6,15.19
